"filename", "language", "JSON", "TypeScript", "JSON with Comments", "Prisma", "Markdown", "Draw.io", "MS SQL", "JavaScript", "comment", "blank", "total"
"c:\Users\user\Desktop\项目\coderhow-backend\src\chat\chat.gateway.ts", "TypeScript", 0, 65, 0, 0, 0, 0, 0, 0, 0, 13, 78
"c:\Users\user\Desktop\项目\coderhow-backend\src\chat\chat.module.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\user\Desktop\项目\coderhow-backend\src\chat\chat.service.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\user\Desktop\项目\coderhow-backend\src\chatroom\chatroom.controller.ts", "TypeScript", 0, 118, 0, 0, 0, 0, 0, 0, 0, 5, 123
"c:\Users\user\Desktop\项目\coderhow-backend\src\chatroom\chatroom.module.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\user\Desktop\项目\coderhow-backend\src\chatroom\chatroom.service.ts", "TypeScript", 0, 258, 0, 0, 0, 0, 0, 0, 5, 25, 288
"c:\Users\user\Desktop\项目\coderhow-backend\src\comment\comment.controller.ts", "TypeScript", 0, 133, 0, 0, 0, 0, 0, 0, 0, 1, 134
"c:\Users\user\Desktop\项目\coderhow-backend\src\comment\comment.module.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\user\Desktop\项目\coderhow-backend\src\comment\comment.service.ts", "TypeScript", 0, 63, 0, 0, 0, 0, 0, 0, 26, 5, 94
"c:\Users\user\Desktop\项目\coderhow-backend\src\comment\dto\res.comment.dto.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 8, 25
"c:\Users\user\Desktop\项目\coderhow-backend\src\decorator.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 3, 2, 24
"c:\Users\user\Desktop\项目\coderhow-backend\src\email\email.controller.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\user\Desktop\项目\coderhow-backend\src\email\email.module.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\user\Desktop\项目\coderhow-backend\src\email\email.service.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 3, 32
"c:\Users\user\Desktop\项目\coderhow-backend\src\favorite\favorite.controller.ts", "TypeScript", 0, 48, 0, 0, 0, 0, 0, 0, 0, 5, 53
"c:\Users\user\Desktop\项目\coderhow-backend\src\favorite\favorite.module.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\user\Desktop\项目\coderhow-backend\src\favorite\favorite.service.ts", "TypeScript", 0, 56, 0, 0, 0, 0, 0, 0, 0, 5, 61
"c:\Users\user\Desktop\项目\coderhow-backend\src\file\dto\res.imges.dto.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\user\Desktop\项目\coderhow-backend\src\file\file.controller.ts", "TypeScript", 0, 39, 0, 0, 0, 0, 0, 0, 0, 1, 40
"c:\Users\user\Desktop\项目\coderhow-backend\src\file\file.module.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\user\Desktop\项目\coderhow-backend\src\file\file.service.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 1, 29
"c:\Users\user\Desktop\项目\coderhow-backend\src\friendship\dto\friend-add.dto.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\user\Desktop\项目\coderhow-backend\src\friendship\friendship.controller.ts", "TypeScript", 0, 132, 0, 0, 0, 0, 0, 0, 0, 1, 133
"c:\Users\user\Desktop\项目\coderhow-backend\src\friendship\friendship.module.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\user\Desktop\项目\coderhow-backend\src\friendship\friendship.service.ts", "TypeScript", 0, 339, 0, 0, 0, 0, 0, 0, 8, 18, 365
"c:\Users\user\Desktop\项目\coderhow-backend\src\main.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 0, 5, 1, 29
"c:\Users\user\Desktop\项目\coderhow-backend\src\tag\dto\res.tag.dto.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\user\Desktop\项目\coderhow-backend\src\tag\tag.controller.ts", "TypeScript", 0, 109, 0, 0, 0, 0, 0, 0, 0, 1, 110
"c:\Users\user\Desktop\项目\coderhow-backend\src\tag\tag.module.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\user\Desktop\项目\coderhow-backend\src\tag\tag.service.ts", "TypeScript", 0, 98, 0, 0, 0, 0, 0, 0, 7, 5, 110
"c:\Users\user\Desktop\项目\coderhow-backend\src\types.d.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\user\Desktop\项目\coderhow-backend\src\user\dto\login-user.dto.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\user\Desktop\项目\coderhow-backend\src\user\dto\register-user.dto.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 6, 35
"c:\Users\user\Desktop\项目\coderhow-backend\src\user\dto\res.userInfo.dto.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 1, 7, 25
"c:\Users\user\Desktop\项目\coderhow-backend\src\user\dto\update-user-email.dto.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 4, 25
"c:\Users\user\Desktop\项目\coderhow-backend\src\user\dto\update-user-password.dto.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 5, 33
"c:\Users\user\Desktop\项目\coderhow-backend\src\user\dto\update-user.dto.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 6, 23
"c:\Users\user\Desktop\项目\coderhow-backend\src\user\dto\user-info.dto.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\user\Desktop\项目\coderhow-backend\src\user\user.controller.ts", "TypeScript", 0, 253, 0, 0, 0, 0, 0, 0, 3, 16, 272
"c:\Users\user\Desktop\项目\coderhow-backend\src\user\user.module.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\user\Desktop\项目\coderhow-backend\src\user\user.service.ts", "TypeScript", 0, 298, 0, 0, 0, 0, 0, 0, 3, 29, 330
"c:\Users\user\Desktop\项目\coderhow-backend\src\utils.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 5, 1, 15
"c:\Users\user\Desktop\项目\coderhow-backend\tsconfig.build.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\user\Desktop\项目\coderhow-backend\tsconfig.json", "JSON with Comments", 0, 0, 21, 0, 0, 0, 0, 0, 0, 1, 22
"Total", "-", 109, 3519, 21, 165, 69, 614, 153, 25, 148, 395, 5218
